"size","ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"5cm",14,14,"MixedInt","Species","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedInt_Species",-0.33655,1.80849,0.40615,1.71897,NA,2.81571,2.82339,1.00538,NA,2.82339
"5cm",1,1,"MixedInt","Species&Site","logDBH.cm",1,"1.MixedInt_Species&Site",-1.43268,2.21636,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",8,8,"MixedInt","Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedInt_Site",-0.26516,2.2101,3.37927,NA,NA,1.00054,1.00054,NA,NA,1.00054
"5cm",1,1,"MixedIntSlope","Site","logDBH.cm",1,"1.MixedIntSlope_Site",-1.46413,2.23852,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",4,4,"MixedInt","Site","logComp.DBH.H.Den",1,"4.MixedInt_Site",-2.12382,0.8949,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",8,8,"MixedInt","Species&Site","logDBH.cm, logWoodDensity.g.cm3",2,"8.MixedInt_Species&Site",-0.27168,2.21223,3.3718,NA,NA,1.00029,1.00029,NA,NA,1.00029
"5cm",6,6,"MixedInt","Species","logDBH.cm, logHeight.m",2,"6.MixedInt_Species",-1.66509,1.96153,0.37919,NA,NA,1.64384,1.64384,NA,NA,1.64384
"5cm",13,13,"MixedInt","Species","logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.MixedInt_Species",-0.75036,1.95262,0.39094,2.68701,NA,1.62518,1.62518,1.00001,NA,1.62518
"5cm",4,4,"MixedIntSlope","Species","logComp.DBH.H.Den",1,"4.MixedIntSlope_Species",-1.84189,0.85813,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",13,13,"Fixed",NA,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.Fixed",-0.82096,1.85522,0.52097,2.62796,NA,1.42423,1.42369,1.00047,NA,1.42423
