"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE_log","globalrank_RMSE_log.CVmean","globalrank_RMSE_log.CVsd","globalrank_Sig","globalrank_ICC","globalrank_RMSE_lin","globalrank_RMdSE_lin","globalrank_RelRMSE_lin","globalrank_RelRMdSE_lin","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE_log","familyrank_RMSE_log.CVmean","familyrank_RMSE_log.CVsd","familyrank_Sig","familyrank_ICC","familyrank_RMSE_lin","familyrank_RMdSE_lin","familyrank_RelRMSE_lin","familyrank_RelRMdSE_lin","globalranks_mean","familyranks_mean"
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,204,"Site","MixedInt",3,1,"14.MixedInt_Site",0.95921,40.43938,60.3481,6.75378754913715,13.0778284993071,33.8735949559735,34.4658948570422,0.24363,0.25484,0.03684,0,0.24702,0.51768,2.86642,20.5,12,6,17.5,8,4,17.5,2,14,22,14,22,3.5,3,2,3.5,2,1,3.5,1,4,5,4,5,15.3333333333333,3.5
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,"Species&Site","MixedInt",4,1,"7.MixedInt_Species&Site",0.95805,47.25437,67.16309,6.33921028485625,12.2750537121923,34.8025878071277,35.4111316992622,0.24367,0.25461,0.05629,0,0.24818,0.55404,2.74967,22,15,10,19.5,7,33,21,1,16,15,16,15,2,1,1,2,1,3,2,1,3,1,3,1,16.5,1.66666666666667
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,"Species","MixedInt",5,3,"12.MixedInt_Species",0.94958,47.59758,67.5063,6.33208119883908,12.2612491671705,46.3952157250395,47.2064635928763,0.25688,0.25973,0.0533,0,0.25867,0.18417,4.17384,31,17,11,26,9,27,24,27,32,14,32,14,6,4,2,6,2,2,6,3,7,4,7,4,21.5,4.83333333333333
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,"Site","MixedInt",6,2,"12.MixedInt_Site",0.95357,49.36321,69.27192,6.85373917795401,13.2713717889625,40.3758968807657,41.0818933880487,0.25302,0.26282,0.05677,0,0.25622,0.25901,4.0083,28,20,12,24,11,35,23,21,24,27,24,27,5,5,3,5,3,3,5,2,4,5,4,5,22.3333333333333,4.5
"5cm",4,"logComp.DBH.H.Den",4,1,204,"Site","MixedIntSlope",7,1,"4.MixedIntSlope_Site",0.95602,68.29808,88.2068,7.1491852239821,13.8434645136214,39.6452828471061,40.3385041346223,0.25256,0.26335,0.06481,0,0.25899,0.44831,-Inf,25,26,20,23,12,44,26,5,23,29,23,29,2,2,2,2,2,7,2,1,2,1,2,1,24.8333333333333,1.83333333333333
"5cm",7,"logDBH.cm, logCanopyDiameter.m",7,2,204,"Site","MixedInt",8,2,"7.MixedInt_Site",0.95166,69.00058,85.59118,8.29682258743097,16.0657145487886,35.5013040528789,36.1220654130374,0.26322,0.26996,0.04452,0,0.26685,0.47542,2.58585,29,27,18,29,14,12,29,4,17,43,17,43,4,4,2,4,2,1,4,2,4,7,4,7,27.1666666666667,4.16666666666667
"5cm",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,204,NA,"Fixed",9,2,"16.Fixed",0.94455,54.0067,73.91542,7.98505935745686,15.4620257261349,45.5430036607214,46.3393500950953,0.26821,0.26889,0.05212,NA,0.27156,NA,4.15314,39,22,14,32,13,25,32,NA,27,37,27,37,7,6,5,7,4,2,7,NA,6,7,6,7,28.5,6.33333333333333
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,204,"Site","MixedInt",10,1,"13.MixedInt_Site",0.94889,72.73521,92.64393,8.19307183500726,15.8648147518969,48.4815433276562,49.3292718712003,0.26834,0.28002,0.06271,0,0.27169,0.23866,1.96414,32.5,29,23,34.5,17,42,33.5,23,38,40,38,40,4.5,3,2,4.5,1,3,4.5,1,4,3,4,3,32.6666666666667,3.5
"5cm",6,"logDBH.cm, logHeight.m",6,2,204,"Species&Site","MixedInt",11.5,1,"6.MixedInt_Species&Site",0.94772,81.93752,101.84624,7.82829760774488,15.1584770487344,48.4166127207676,49.2632059141344,0.26832,0.27869,0.04759,0,0.27301,0.40864,2.0313,34,33,25,33,15,19,35,11,36,36,36,36,4,3,1,4,1,2,4,1,3,3,3,3,33.1666666666667,3
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,NA,"Fixed",11.5,4,"12.Fixed",0.93915,70.97163,87.56223,8.02169003039311,15.5329562454901,46.3257990242247,47.1358330998709,0.28097,0.28238,0.04823,NA,0.28377,NA,3.99321,44,28,19,41,20,21,39,NA,31,38,31,38,7,7,5,7,4,1,7,NA,6,7,6,7,33.1666666666667,6.5
