"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
4,"Comp.DBH.H.Den","Species","MixedInt",55,0.96079,477.34813,493.36368,0.42657,0.1729,0.42676,0.06115,0,0.42802,0.07387,"4.MixedInt_Species",-1.48084,0.80153,NA,NA,NA,NA,NA,NA,NA,0.95937439658282,NA,NA,NA,-Inf
4,"Comp.DBH.H.Den","Species","MixedIntSlope",56,0.96091,479.018,503.04133,0.42528,0.17238,0.42983,0.08084,1,0.42673,NA,"4.MixedIntSlope_Species",-1.47379,0.80032,NA,NA,NA,NA,NA,NA,NA,0.959450109875221,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species&Site","MixedIntSlope",57,0.9699,1039.06613,1077.7732,0.5892,0.98369,0.60239,0.0623,0,0.59603,NA,"5.MixedIntSlope_Species&Site",-0.48229,0.95402,NA,NA,NA,NA,NA,NA,NA,0.966593022161718,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species","MixedInt",58,0.95351,1153.36953,1170.57267,0.68824,1.14904,0.68916,0.08143,0,0.68961,0.0139,"5.MixedInt_Species",-0.08203,0.89166,NA,NA,NA,NA,NA,NA,NA,0.953032433412465,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species","MixedIntSlope",59,0.95355,1156.0061,1181.81082,0.68696,1.14691,0.69192,0.05722,1,0.68841,NA,"5.MixedIntSlope_Species",-0.07968,0.89043,NA,NA,NA,NA,NA,NA,NA,0.953007355617866,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Site","MixedInt",60,0.95197,1148.07446,1165.2776,0.67657,1.12956,0.68423,0.05759,0,0.68026,0.07456,"5.MixedInt_Site",-0.01478,0.86319,NA,NA,NA,NA,NA,NA,NA,0.950092500163668,NA,NA,NA,-Inf
6,"DBH.cm, Height.m","Species&Site","MixedIntSlope",61,0.97658,343.00856,407.07076,0.32795,0.13293,0.39872,0.05338,1,0.33436,NA,"6.MixedIntSlope_Species&Site",-1.57948,1.82701,0.44407,NA,NA,1.29277,1.29277,NA,NA,0.840905823198827,0.112352126879524,NA,NA,1.29277
6,"DBH.cm, Height.m","Species","MixedIntSlope",62,0.96278,474.19876,514.23764,0.41466,0.16807,0.46022,0.04044,1,0.41724,NA,"6.MixedIntSlope_Species",-1.5212,1.77697,0.5068,NA,NA,1.9426,1.9426,NA,NA,0.779609872039394,0.104450559124816,NA,NA,1.9426
6,"DBH.cm, Height.m","Site","MixedInt",63,0.95869,501.03314,521.05258,0.43325,0.17561,0.44138,0.04902,0,0.43662,0.08191,"6.MixedInt_Site",-1.60198,1.68589,0.63427,NA,NA,5.822,5.822,NA,NA,0.746408894505534,0.144475581516853,NA,NA,5.822
6,"DBH.cm, Height.m","Site","MixedIntSlope",64,0.97213,389.74401,429.78288,0.35779,0.14503,0.43183,0.05513,1,0.36368,NA,"6.MixedIntSlope_Site",-1.45153,1.83627,0.41193,NA,NA,1.08086,1.08086,NA,NA,0.816787344859251,0.0833605432290098,NA,NA,1.08086
7,"DBH.cm, CanopyDiameter.m","Species&Site","MixedIntSlope",65,0.9748,297.19312,358.40912,0.33718,0.13348,0.3733,0.0709,1,0.3423,NA,"7.MixedIntSlope_Species&Site",-0.94742,1.79227,0.47854,NA,NA,1.11699,1.11699,NA,NA,0.841537468702939,0.176083911592737,NA,NA,1.11699
7,"DBH.cm, CanopyDiameter.m","Species","MixedInt",66,0.96309,377.17587,396.30587,0.40962,0.16216,0.41252,0.04351,0,0.41129,0.09061,"7.MixedInt_Species",-0.95544,1.75004,0.52563,NA,NA,4.7005,4.7005,NA,NA,0.791027279086317,0.161607904627794,NA,NA,4.7005
7,"DBH.cm, CanopyDiameter.m","Species","MixedIntSlope",67,0.96647,364.771,403.031,0.39071,0.15468,0.41612,0.06343,1,0.39388,NA,"7.MixedIntSlope_Species",-0.94329,1.74145,0.55393,NA,NA,1.32419,1.32419,NA,NA,0.798206795435521,0.184284076813576,NA,NA,1.32419
7,"DBH.cm, CanopyDiameter.m","Site","MixedIntSlope",68,0.9787,236.45376,274.71376,0.31382,0.12423,0.33152,0.04844,1,0.31837,NA,"7.MixedIntSlope_Site",-1.02671,1.76133,0.56419,NA,NA,1.0611,1.0611,NA,NA,0.853460779856554,0.252242009036742,NA,NA,1.0611
8,"DBH.cm, WoodDensity.g.cm3","Species&Site","MixedInt",69,0.94544,776.26303,801.58657,0.5068,0.22811,0.51164,0.08648,1,0.51026,NA,"8.MixedInt_Species&Site",0.42715,1.98285,4.05863,NA,NA,1.00291,1.00291,NA,NA,0.943276942446045,0.158327791031286,NA,NA,1.00291
8,"DBH.cm, WoodDensity.g.cm3","Species&Site","MixedIntSlope",70,0.95646,720.93471,788.46415,0.45746,0.20591,0.51494,0.0898,0,0.46441,NA,"8.MixedIntSlope_Species&Site",0.39738,2.02438,4.08442,NA,NA,1.00003,1.00003,NA,NA,0.951965293790308,0.178860383320013,NA,NA,1.00003
8,"DBH.cm, WoodDensity.g.cm3","Species","MixedInt",71,0.94174,794.97811,816.08106,0.52801,0.23766,0.52438,0.10363,1,0.52801,NA,"8.MixedInt_Species",0.42106,1.98609,3.98719,NA,NA,1.00035,1.00035,NA,NA,0.941332514304186,0.148644954968496,NA,NA,1.00035
8,"DBH.cm, WoodDensity.g.cm3","Species","MixedIntSlope",72,0.95281,733.37622,775.58212,0.48558,0.21856,0.4895,0.06278,1,0.48697,NA,"8.MixedIntSlope_Species",0.30373,2.03912,3.88848,NA,NA,1.00003,1.00003,NA,NA,0.95044771577042,0.158475952302421,NA,NA,1.00003
8,"DBH.cm, WoodDensity.g.cm3","Site","MixedInt",73,0.94544,774.26303,795.36598,0.5068,0.22811,0.51308,0.06788,0,0.51026,0.0668,"8.MixedInt_Site",0.42715,1.98285,4.05863,NA,NA,1.00291,1.00291,NA,NA,0.942751031829977,0.157027994938369,NA,NA,1.00291
8,"DBH.cm, WoodDensity.g.cm3","Site","MixedIntSlope",74,0.96673,608.62985,650.83575,0.40387,0.18178,0.43698,0.07462,0,0.41183,NA,"8.MixedIntSlope_Site",0.3266,2.04748,4.06283,NA,NA,1.00098,1.00098,NA,NA,0.959901460736477,0.202863230750401,NA,NA,1.00098
9,"Height.m, CanopyDiameter.m","Species&Site","MixedIntSlope",75,0.97777,916.77807,985.59064,0.51149,0.85396,0.69104,0.1571,1,0.51862,NA,"9.MixedIntSlope_Species&Site",-1.50689,1.6693,1.30292,NA,NA,1.04234,1.04234,NA,NA,0.692486229877774,0.632369049610348,NA,NA,1.04234
9,"Height.m, CanopyDiameter.m","Species","MixedInt",76,0.95987,1071.84614,1093.35006,0.64097,1.07013,0.6358,0.11053,1,0.64097,NA,"9.MixedInt_Species",-0.97649,1.40076,1.34896,NA,NA,4.99639,4.99639,NA,NA,0.576344440731932,0.539150608574995,NA,NA,4.99639
9,"Height.m, CanopyDiameter.m","Species","MixedIntSlope",77,0.96238,1065.45326,1108.46112,0.61832,1.03231,0.62815,0.08483,1,0.62136,NA,"9.MixedIntSlope_Species",-1.07134,1.45662,1.28764,NA,NA,1.02035,1.02035,NA,NA,0.55646930888554,0.551426801105779,NA,NA,1.02035
9,"Height.m, CanopyDiameter.m","Site","MixedIntSlope",78,0.97832,892.44034,935.4482,0.50848,0.84892,0.68627,0.10116,1,0.51459,NA,"9.MixedIntSlope_Site",-1.64582,1.68718,1.30155,NA,NA,1.01832,1.01832,NA,NA,0.690878511511118,0.625146456364457,NA,NA,1.01832
10,"Height.m, WoodDensity.g.cm3","Species&Site","MixedIntSlope",79,0.93983,1455.10372,1525.74528,0.74038,0.96395,0.9457,0.14774,1,0.74827,NA,"10.MixedIntSlope_Species&Site",-1.50905,2.63145,2.38091,NA,NA,1.00034,1.00034,NA,NA,0.930563454453815,0.0270823339694836,NA,NA,1.00034
10,"Height.m, WoodDensity.g.cm3","Species","MixedInt",80,0.91287,1670.65859,1692.73408,0.93471,1.21697,0.93968,0.06641,0,0.93675,0.03736,"10.MixedInt_Species",-1.57066,2.78047,3.0027,NA,NA,1.00092,1.00092,NA,NA,0.91101936534227,0.0294044412381167,NA,NA,1.00092
10,"Height.m, WoodDensity.g.cm3","Species","MixedIntSlope",81,0.91532,1676.90651,1721.05748,0.92707,1.20702,0.94602,0.10718,1,0.93019,NA,"10.MixedIntSlope_Species",-0.74771,2.77653,5.3732,NA,NA,1.00217,1.00217,NA,NA,0.911636813962316,0.089279229971316,NA,NA,1.00217
10,"Height.m, WoodDensity.g.cm3","Site","MixedIntSlope",82,0.9622,1370.58644,1414.73741,0.68177,0.88764,1.03808,0.17152,1,0.69098,NA,"10.MixedIntSlope_Site",-2.0535,2.96807,2.31662,NA,NA,1.00053,1.00053,NA,NA,0.945864748179814,0.0262961404080899,NA,NA,1.00053
11,"CanopyDiameter.m, WoodDensity.g.cm3","Species&Site","MixedInt",83,0.9184,1426.97366,1452.77837,0.86445,1.44323,0.87169,0.07073,1,0.86972,NA,"11.MixedInt_Species&Site",-0.17887,2.32808,-2.50091,NA,NA,1.00503,1.00503,NA,NA,0.913165600058039,0.0227948857672304,NA,NA,1.00503
11,"CanopyDiameter.m, WoodDensity.g.cm3","Species&Site","MixedIntSlope",84,0.91916,1444.04229,1512.85486,0.85762,1.43183,0.93764,0.08995,1,0.86474,NA,"11.MixedIntSlope_Species&Site",-0.1318,2.32574,-2.38348,NA,NA,1.00197,1.00197,NA,NA,0.913394728771575,0.0208477619839667,NA,NA,1.00197
