"ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
8,8,"MixedIntSlope","Site","DBH.cm, WoodDensity.g.cm3",2,"8.MixedIntSlope_Site",-0.31802,2.23915,3.28878,NA,NA,1,1,NA,NA,0.947813238254867,0.301859696183494,NA,NA,1
9,9,"MixedInt","Species&Site","Height.m, CanopyDiameter.m",2,"9.MixedInt_Species&Site",-1.30412,1.60492,1.46689,NA,NA,1.31573,1.31573,NA,NA,0.710850185418611,0.572880886937517,NA,NA,1.31573
9,9,"MixedIntSlope","Species&Site","Height.m, CanopyDiameter.m",2,"9.MixedIntSlope_Species&Site",-1.56405,1.74399,1.43551,NA,NA,1.19692,1.19692,NA,NA,0.706162380107546,0.617833941653976,NA,NA,1.19692
9,9,"MixedInt","Species","Height.m, CanopyDiameter.m",2,"9.MixedInt_Species",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,0.734425255620052,0.484337532941513,NA,NA,1.1334
9,9,"MixedIntSlope","Species","Height.m, CanopyDiameter.m",2,"9.MixedIntSlope_Species",-0.9176,1.36079,1.58438,NA,NA,1.03999,1.03999,NA,NA,0.743407360630421,0.493434165632664,NA,NA,1.03999
9,9,"MixedInt","Site","Height.m, CanopyDiameter.m",2,"9.MixedInt_Site",-1.30412,1.60492,1.46689,NA,NA,1.31573,1.31573,NA,NA,0.709144337631961,0.570852510464665,NA,NA,1.31573
9,9,"MixedIntSlope","Site","Height.m, CanopyDiameter.m",2,"9.MixedIntSlope_Site",-1.85215,1.85246,1.39483,NA,NA,1.08494,1.08494,NA,NA,0.704746872607283,0.657399957802139,NA,NA,1.08494
10,10,"MixedIntSlope","Species&Site","Height.m, WoodDensity.g.cm3",2,"10.MixedIntSlope_Species&Site",-2.49461,3.12715,1.92804,NA,NA,1.00095,1.00095,NA,NA,0.677066041534992,0.0212040669949015,NA,NA,1.00095
10,10,"MixedIntSlope","Species","Height.m, WoodDensity.g.cm3",2,"10.MixedIntSlope_Species",-0.24619,2.33384,3.00089,NA,NA,1.00136,1.00136,NA,NA,0.485192828723052,0.0406342521486175,NA,NA,1.00136
11,11,"MixedInt","Species&Site","CanopyDiameter.m, WoodDensity.g.cm3",2,"11.MixedInt_Species&Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,0.722390076315084,0.00250522289728938,NA,NA,1.03954
11,11,"MixedIntSlope","Species&Site","CanopyDiameter.m, WoodDensity.g.cm3",2,"11.MixedIntSlope_Species&Site",2.29131,2.01857,2.4351,NA,NA,1.00008,1.00008,NA,NA,0.747363402419034,0.048204164254071,NA,NA,1.00008
11,11,"MixedInt","Species","CanopyDiameter.m, WoodDensity.g.cm3",2,"11.MixedInt_Species",1.56155,1.92299,-0.52911,NA,NA,1.02758,1.02758,NA,NA,0.698814512097905,0.00206220266447454,NA,NA,1.02758
11,11,"MixedIntSlope","Species","CanopyDiameter.m, WoodDensity.g.cm3",2,"11.MixedIntSlope_Species",1.17372,1.976,-1.38732,NA,NA,1.02222,1.02222,NA,NA,0.710968218365533,0.0140634749058687,NA,NA,1.02222
