"","Model","RMSE_log","RMSE_log_scaled","RMSE_lin_bias","RMSE_lin_bask","RMSE_lin_bias_scaled","RMSE_lin_bask_scaled","meanAGB","RRMSE_lin_bask_scaled"
"40","6.MixedIntSlope_Species",0.498400988427616,0.443647402148225,50.5507690319288,48.6559400854538,46.9019708481681,44.0554477488501,58.6218436734815,75.1519314101328
"41","6.MixedInt_Site",0.433251633997453,0.433251633997726,46.273601635841,44.4699922566733,46.2736016356446,44.4699922564551,58.6218436734815,75.8590816490676
"42","6.MixedIntSlope_Site",0.718701700285748,0.417597776312403,120.473914557125,128.333974999792,48.6920103119212,47.8960302300172,58.6218436734815,81.7033843165934
"43","7.Fixed",0.430613208635809,0.430613208635809,49.5416425242047,52.9250774069136,49.5416425242048,52.9250774069138,60.2396355096165,87.8575658022781
"44","7.MixedInt_Species&Site",0.379030560508293,0.379030560508791,33.2473023001179,34.5427098744456,33.2473022996792,34.5427098740108,60.2396355096165,57.3421628165338
"45","7.MixedIntSlope_Species&Site",0.35888869897711,0.387018758252864,29.5320640885374,29.4095419676405,26.5890866493469,27.286242932001,60.2396355096165,45.2961620719718
"46","7.MixedInt_Species",0.409620554487098,0.409620554537173,46.9583144182331,49.1680055149145,46.9583144460151,49.1680055519533,60.2396355096165,81.6206889965398
"47","7.MixedIntSlope_Species",0.440738442055503,0.406765314697846,49.2907623067326,52.1820488086635,45.602439615204,45.0915268126685,60.2396355096165,74.8535850710288
"48","7.MixedInt_Site",0.396001197628207,0.396001197628134,32.1085831621093,33.8099248553627,32.1085831619828,33.8099248552406,60.2396355096165,56.1257128619964
"49","7.MixedIntSlope_Site",0.63993573150515,0.32193244012713,63.003860108457,65.6980687304346,25.2951095693225,24.7927976624765,60.2396355096165,41.1569516527347
"50","8.Fixed",0.528008867375638,0.528008867375638,69.2160620330721,65.9197867938655,69.216062033072,65.9197867938654,58.1199924743598,113.420157139467
"51","8.MixedInt_Species&Site",0.506798272907523,0.506798272907645,61.2196255854485,55.773038400663,61.219625585558,55.7730384008111,58.1199924743598,95.9618816630368
"52","8.MixedIntSlope_Species&Site",0.499513565367516,0.488931740019875,86.0338591398584,84.5379181815222,78.6904135312856,78.0282421550697,58.1199924743598,134.253703128906
"53","8.MixedInt_Species",0.528008867375638,0.528008867375638,69.2160620330736,65.9286287338084,69.2160620330724,65.928628733808,58.1199924743598,113.43537038979
"54","8.MixedIntSlope_Species",0.576592238052221,0.485577411427858,68.406075874152,67.7610977043397,73.4520159799135,68.8474148429455,58.1199924743598,118.457370539609
"55","8.MixedInt_Site",0.506798272514511,0.506798272514484,61.2196252236504,55.7730379307412,61.2196252236222,55.7730379307048,58.1199924743598,95.9618808541821
"56","8.MixedIntSlope_Site",0.906175896348952,0.427319924453015,115.197056955626,123.147287303161,61.688931993958,57.2683132260627,58.1199924743598,98.534619135278
"57","9.Fixed",0.640973114302561,0.640973114302561,56.1850752082799,49.4890536547246,56.18507520828,49.4890536547246,37.6207445358899,131.547246779001
"58","9.MixedInt_Species&Site",0.603661197588341,0.603661193508317,55.8633240879881,50.9725659314161,55.8633252005017,50.9725675981375,37.6207445358899,135.490586980569
"59","9.MixedIntSlope_Species&Site",0.766413329654651,0.620109437075968,58.4056192644959,54.5319436446332,51.6474292609096,47.9104402555735,37.6207445358899,127.351121958438
"60","9.MixedInt_Species",0.640973114302561,0.640973114302561,56.1850752082799,49.5243085555013,56.1850752082798,49.5243085555012,37.6207445358899,131.640958110904
"61","9.MixedIntSlope_Species",0.673787408706099,0.618321140663764,59.5197189148181,53.9038537658351,54.3512655751257,48.0597573502729,37.6207445358899,127.74802291439
"62","9.MixedInt_Site",0.60620840394064,0.606208403940717,55.3077144239397,50.2493542236821,55.3077144239318,50.2493542236538,37.6207445358899,133.568207762917
"63","9.MixedIntSlope_Site",1.00632020244309,0.740402955723422,73.5477088051868,74.1932916842859,60.0704609803457,57.2135767210226,37.6207445358899,152.079862923609
"64","10.Fixed",0.954260704013022,0.954260704013022,72.093492583043,67.4530064332715,72.0934925830431,67.4530064332715,38.9916792505074,172.993335321391
"65","10.MixedInt_Species&Site",0.760519372333616,0.760519372327,68.8851543144627,65.7704874266334,68.8851543154512,65.7704874280882,38.9916792505074,168.678263394446
"66","10.MixedIntSlope_Species&Site",0.799495615479156,0.874099505460981,68.1594827415202,63.9714147670565,106.036879774336,133.905558111928,38.9916792505074,343.420854617811
"67","10.MixedInt_Species",0.934707604235286,0.934707604244746,69.678429344447,65.4345639916294,69.6784293495923,65.4345639925805,38.9916792505074,167.816737443359
"68","10.MixedIntSlope_Species",0.930757415984257,0.930258754000204,68.7157701237687,68.459480382988,69.2916104930857,66.4813886622987,38.9916792505074,170.501476058982
"69","10.MixedInt_Site",0.760807071448029,0.760807071443675,68.8435826877118,65.7080341119194,68.8435826880223,65.7080341153734,38.9916792505074,168.518092522313
"70","10.MixedIntSlope_Site",1.29768480885,1.19287604973269,66.1691374397645,66.1557200734108,147.209523721607,192.192023463836,38.9916792505074,492.905222750402
"71","11.Fixed",0.930901645924502,0.930901645924502,56.9555356761958,52.6624744216355,56.9555356761958,52.6624744216355,37.6207445358899,139.982541736769
"72","11.MixedInt_Species&Site",0.864445773294324,0.864445773294152,48.1873998083321,50.7282628911195,48.1873998083174,50.7282628914338,37.6207445358899,134.841198698339
"73","11.MixedIntSlope_Species&Site",0.891601417450783,0.919987155792787,52.6820169259452,45.6271950314091,60.2405104627803,50.5364492278199,37.6207445358899,134.33133727486
"74","11.MixedInt_Species",0.923110670279188,0.923110670115047,58.1576621176945,51.8258837088693,58.1576621791117,51.8258837117598,37.6207445358899,137.758793322972
"75","11.MixedIntSlope_Species",0.92398799162068,0.924059512824899,58.9018675419933,52.1591199873343,58.9162297857156,52.1715600444413,37.6207445358899,138.677638329752
"76","11.MixedInt_Site",0.864445593129791,0.864445593130123,48.1873839051813,50.7285542936746,48.1873839052113,50.7285542930763,37.6207445358899,134.84197327536
"77","11.MixedIntSlope_Site",0.842860762269434,0.920886323313479,88.2358223697675,140.380159608634,56.4343365502586,87.6638474556574,37.6207445358899,233.019969533104
"78","12.Fixed",0.359601016671424,0.359601016671424,37.7575032044469,35.9036804042715,37.7575032044467,35.9036804042714,60.2396355096165,59.6014237146901
"79","12.MixedInt_Species&Site",0.330713804902386,0.330713804903077,39.1802188749067,37.6727043421907,39.1802188748257,37.6727043420689,60.2396355096165,62.5380682060317
"80","12.MixedIntSlope_Species&Site",0.836689440671746,0.403835863867105,132.531344531294,139.803055053151,47.1181948817895,49.7523723681147,60.2396355096165,82.5907593019422
"81","12.MixedInt_Species",0.3452879853162,0.345287985316447,36.2871569798484,34.6746757990803,36.2871569799263,34.6746757991322,60.2396355096165,57.5612310828089
"82","12.MixedIntSlope_Species",0.445029657655647,0.359691241590677,53.8510009358805,52.5237351427865,43.0609836263014,41.0105456210309,60.2396355096165,68.0790069098013
"83","12.MixedInt_Site",0.346565978673961,0.346565978673981,39.8240194092114,38.1897602984309,39.824019409197,38.1897602984157,60.2396355096165,63.3964000202477
"84","12.MixedIntSlope_Site",0.908787592638155,0.420191483136359,113.724950968614,117.468636532145,55.0710188220662,54.5072296946923,60.2396355096165,90.4839965142068
"85","13.Fixed",0.42062112531595,0.42062112531595,42.251049414165,40.740002128281,42.2510494141649,40.740002128281,58.6218436734815,69.496282572072
"86","13.MixedInt_Species&Site",0.398146735292085,0.398146725605201,43.8144976499318,42.1161627474245,43.8145042811294,42.11616941728,58.6218436734815,71.8438158510732
"87","13.MixedIntSlope_Species&Site",0.984008875739841,0.542070880521492,121.829954968272,129.463390795769,52.8464575726436,53.8624111675686,58.6218436734815,91.8811279078453
"88","13.MixedInt_Species",0.42062112531595,0.42062112531595,42.2510494141649,40.7443975836751,42.2510494141649,40.7443975836756,58.6218436734815,69.5037805542561
"89","13.MixedIntSlope_Species",0.433528308290387,0.416046324625469,46.3374038460591,43.4690383037424,44.1223472191127,41.6462830482086,58.6218436734815,71.042260765756
"90","13.MixedInt_Site",0.398146735633687,0.398146735633733,43.8144974160875,42.1161625078661,43.8144974160551,42.1161625078339,58.6218436734815,71.8438040646031
"91","13.MixedIntSlope_Site",1.01099118118331,0.427955132798536,201.927017922439,213.078845452892,40.7951645248483,39.6640526870343,58.6218436734815,67.6608755397726
"92","14.Fixed",0.415610001433912,0.415610001433912,50.904013450683,54.7596751784938,50.9040134506832,54.7596751784941,60.2396355096165,90.9030652580101
